transliterated,reference,distance,features,address
dužuuarəštācā,dužuuarštācā,1,"[{'type': 'insert', 'to': 'ə', 'str': 'ə inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.6c', 'index': 9}]"
frā,frā,0,[],"[{'id': 'Y0.6c', 'index': 10}, {'id': 'Y0.7a', 'index': 0}]"
vīrāhə̄,və̄rāhī,2,"[{'type': 'replace', 'from': 'ī', 'to': 'ə̄', 'str': 'ə̄ for ī', 'is_documented': True, 'description': 'In Iranian manuscripts, there is a tendency for long palatal vowels like ə̄ to close into ī. This is part of a broader pattern where short palatal vowels tend to be open, and long ones tend to be closed'}, {'type': 'replace', 'from': 'ə̄', 'to': 'ī', 'str': 'ī for ə̄', 'is_documented': False, 'description': None}]","[{'id': 'Y0.7a', 'index': 1}]"
aməṣ̌ā,aməṣ̌ā,0,[],"[{'id': 'Y0.7a', 'index': 2}]"
spəṇtā,spəṇtā,0,[],"[{'id': 'Y0.7a', 'index': 3}]"
yasnəmcā,yasnəmcā,0,[],"[{'id': 'Y0.7a', 'index': 4}]"
vahməmcā,vaɱəmcā,1,"[{'type': 'replace', 'from': 'h', 'to': 'ɱ', 'str': 'ɱ for h', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'm', 'str': 'm inserted', 'is_documented': True, 'description': 'm can be an inserted anaptyctic vowel as part of consonantal groups involving sonorants (m, n, r)'}]","[{'id': 'Y0.7a', 'index': 5}]"
pərā,parā,1,"[{'type': 'replace', 'from': 'ə', 'to': 'a', 'str': 'a for ə', 'is_documented': True, 'description': ""While ə is described as a 'shading of a' in Indian manuscripts, and Jackson notes a in Behdini can lean towards an 'inverted a' or 'close to e', this is more of a pronunciation tendency or a description of the vowel's quality rather than a common orthographic substitution in the way ə substitutes i or e""}]","[{'id': 'Y0.7a', 'index': 6}, {'id': 'Y0.7b', 'index': 0}]"
manaŋhā,manaŋhā,0,[],"[{'id': 'Y0.7b', 'index': 1}]"
frā,frā,0,[],"[{'id': 'Y0.7b', 'index': 2}]"
vacaŋhā,vacaŋhā,0,[],"[{'id': 'Y0.7b', 'index': 3}]"
frā,frā,0,[],"[{'id': 'Y0.7b', 'index': 4}]"
š́iiōϑanā,š́iiaōϑanā,1,"[{'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.7b', 'index': 5}, {'id': 'Y0.7b', 'index': 6}]"
frā,frā,0,[],"[{'id': 'Y0.7b', 'index': 7}]"
aŋhā̊,aŋ́hā̊,1,"[{'type': 'replace', 'from': 'ŋ', 'to': 'ŋ́', 'str': 'ŋ́ for ŋ', 'is_documented': True, 'description': 'Palatal nasal ŋ́ replaced by ŋ, often in Indian manuscripts.'}]","[{'id': 'Y0.7b', 'index': 8}]"
fərātanuuascīt̰,fərātanuuascīt̰,0,[],"[{'id': 'Y0.7b', 'index': 9}]"
xᵛax́iiā̊,xᵛax́iiā̊,0,[],"[{'id': 'Y0.7b', 'index': 10}, {'id': 'Y0.7b', 'index': 11}]"
uštanəm,uštanəm,0,[],"[{'id': 'Y0.7b', 'index': 12}]"
staōmī,staōmī,0,[],"[{'id': 'Y0.7b', 'index': 13}, {'id': 'Y0.8a', 'index': 0}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.8a', 'index': 1}, {'id': 'Y0.9AV', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.9AV', 'index': 1}]"
frauuarāne,frauuarāne,0,[],"[{'id': 'Y0.9AV', 'index': 2}, {'id': 'Y0.10Frauuarane.a', 'index': 0}, {'id': 'Y0.10Frauuarane.a', 'index': 1}]"
mazdaiiasnō,mazdaiiasnō,0,[],"[{'id': 'Y0.10Frauuarane.a', 'index': 2}]"
zaraϑuštrəš,zaraϑuštriš,1,"[{'type': 'replace', 'from': 'ə', 'to': 'i', 'str': 'i for ə', 'is_documented': True, 'description': 'ə used for i, especially in Iranian manuscripts.'}]","[{'id': 'Y0.10Frauuarane.a', 'index': 3}]"
vīdaēuuō,vīdaēuuō,0,[],"[{'id': 'Y0.10Frauuarane.a', 'index': 4}]"
ahurat̰kaēšō,ahurat̰kaēšō,0,[],"[{'id': 'Y0.10Frauuarane.a', 'index': 5}]"
hāuuanə̄e,hāuuanə̄e,0,[],"[{'id': 'Y0.10Frauuarane.a', 'index': 6}, {'id': 'Y0.10RatuFra', 'index': 0}]"
aṣ̌aōne,aṣ̌aōne,0,[],"[{'id': 'Y0.10RatuFra', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0,[],"[{'id': 'Y0.10RatuFra', 'index': 2}]"
raϑβe,raϑβe,0,[],"[{'id': 'Y0.10RatuFra', 'index': 3}]"
yasnāica,yasnāica,0,[],"[{'id': 'Y0.10RatuFra', 'index': 4}]"
vahmāica,vaɱāica,2,"[{'type': 'replace', 'from': 'h', 'to': 'ɱ', 'str': 'ɱ for h', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'm', 'str': 'm inserted', 'is_documented': True, 'description': 'm can be an inserted anaptyctic vowel as part of consonantal groups involving sonorants (m, n, r)'}]","[{'id': 'Y0.10RatuFra', 'index': 5}]"
xšnaōϑrāica,xšnaōϑrāica,0,[],"[{'id': 'Y0.10RatuFra', 'index': 6}]"
frasastaiiaēca,frasastaiiaēca,0,[],"[{'id': 'Y0.10RatuFra', 'index': 7}]"
sāuuaŋhə̄e,sāuuaŋhə̄e,0,[],"[{'id': 'Y0.10RatuFra', 'index': 8}]"
vīsiiāica,vīsiiāica,0,[],"[{'id': 'Y0.10RatuFra', 'index': 9}]"
aṣ̌aōne,aṣ̌aōne,0,[],"[{'id': 'Y0.10RatuFra', 'index': 10}, {'id': 'Y0.10RatuFra', 'index': 11}]"
aṣ̌ahe,aṣ̌ahe,0,[],"[{'id': 'Y0.10RatuFra', 'index': 12}]"
raϑβe,raϑβe,0,[],"[{'id': 'Y0.10RatuFra', 'index': 13}]"
raϑβąm,raϑβąm,0,[],"[{'id': 'Y0.10RatuFra', 'index': 14}, {'id': 'Y0.10Frauuarane.b', 'index': 0}]"
aiiaranąmca,aiiaranąmca,0,[],"[{'id': 'Y0.10Frauuarane.b', 'index': 1}]"
asniianąmca,asńiianąmca,1,"[{'type': 'replace', 'from': 'n', 'to': 'ń', 'str': 'ń for n', 'is_documented': True, 'description': 'Palatal ń replaced by n, especially in Indian traditions.'}]","[{'id': 'Y0.10Frauuarane.b', 'index': 2}]"
māhiianąmca,māhiianąmca,0,[],"[{'id': 'Y0.10Frauuarane.b', 'index': 3}, {'id': 'Y0.10Frauuarane.b', 'index': 4}]"
yāiriianąmca,yāiriianąmca,0,[],"[{'id': 'Y0.10Frauuarane.b', 'index': 5}]"
sarəδanąmca,sarəδanąmca,0,[],"[{'id': 'Y0.10Frauuarane.b', 'index': 6}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.10Frauuarane.b', 'index': 7}, {'id': 'Y0.10ShnumanGen.a', 'index': 0}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.10ShnumanGen.a', 'index': 1}]"
raēuuatō,raēuuatō,0,[],"[{'id': 'Y0.10ShnumanGen.a', 'index': 2}]"
xᵛarənaŋᵛhatō,xᵛarənaŋᵛhatō,0,[],"[{'id': 'Y0.10ShnumanGen.a', 'index': 3}]"
aməṣ̌anąm,aməṣ̌anąm,0,[],"[{'id': 'Y0.10ShnumanGen.a', 'index': 4}]"
spəṇtanąm,spəṇtanąm,0,[],"[{'id': 'Y0.10ShnumanGen.a', 'index': 5}]"
miϑrahe,miϑrahe,0,[],"[{'id': 'Y0.10ShnumanGen.a', 'index': 6}, {'id': 'Y0.10RatuShnumanGen', 'index': 0}, {'id': 'Y0.10RatuShnumanGen', 'index': 1}]"
vourugaōiiaōitōiš,vourugaōiiaōtōiš,1,"[{'type': 'insert', 'to': 'i', 'str': 'i inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.10RatuShnumanGen', 'index': 2}]"
rāmanasca,rāmanasca,0,[],"[{'id': 'Y0.10RatuShnumanGen', 'index': 3}]"
xᵛāstrahe,xᵛāstrahe,0,[],"[{'id': 'Y0.10RatuShnumanGen', 'index': 4}, {'id': 'Y0.10RatuShnumanGen', 'index': 5}]"
huuarəxšaētahe,huuarəxšaētahe,0,[],"[{'id': 'Y0.10RatuShnumanGen', 'index': 6}, {'id': 'Y0.10ShnumanGen.b', 'index': 0}]"
aməṣ̌ahe,aməṣ̌ahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 1}]"
raēuuahe,raēuuahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 2}, {'id': 'Y0.10ShnumanGen.b', 'index': 3}]"
auruuat̰aspahe,auruuat̰aspahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 4}]"
vaiiaōš,vaiiaōš,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 5}]"
uparōkairiiehe,uparōkairiiehe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 6}, {'id': 'Y0.10ShnumanGen.b', 'index': 7}]"
taraδātō,taraδātō,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 8}]"
ańiiāiš,ańiiāiš,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 9}]"
dāmąn,dāmąn,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 10}]"
aētat̰,aētat̰,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 11}]"
tē,tē,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 12}]"
vaiiō,vaiiō,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 13}]"
yat̰,yat̰,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 14}]"
tē,tē,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 15}]"
asti,asti,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 16}]"
spəṇtōmaińiiāum,spəṇtōmaińiiaōm,2,"[{'type': 'replace', 'from': 'āu', 'to': 'aō', 'str': 'aō for āu', 'is_documented': True, 'description': 'aō replaced by u, seen in oral-influenced Indian manuscripts.'}]","[{'id': 'Y0.10ShnumanGen.b', 'index': 17}, {'id': 'Y0.10ShnumanGen.b', 'index': 18}]"
razištaiiā̊,razištaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 19}]"
cistaiiā̊,cistaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 20}]"
mazdaδātaiiā̊,mazdaδātaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 21}, {'id': 'Y0.10ShnumanGen.b', 'index': 22}]"
aṣ̌aōnaiiā̊,aṣ̌aōńiiā̊,1,"[{'type': 'replace', 'from': 'n', 'to': 'ń', 'str': 'ń for n', 'is_documented': True, 'description': 'Palatal ń replaced by n, especially in Indian traditions.'}, {'type': 'replace', 'from': 'ai', 'to': 'ii', 'str': 'ii for ai', 'is_documented': True, 'description': 'The sources discuss ii primarily in relation to ī (and y/ẏ), where uu for ū and ii for ī are described as a scriptural convention in Indian manuscripts influenced by Gujarati orthography, with inverse spellings also occurring'}, {'type': 'insert', 'to': 'i', 'str': 'i inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.10ShnumanGen.b', 'index': 23}]"
daēnaiiā̊,daēnaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 24}]"
vaŋhuiiā̊,vaŋhuiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 25}]"
māzdaiiasnōiš,māzdaiiasnōiš,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 26}, {'id': 'Y0.10ShnumanGen.b', 'index': 27}]"
mąϑrahe,mąϑrahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 28}]"
spəṇtahe,spəṇtahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 29}]"
spəṇtahe,spəṇtahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 30}, {'id': 'Y0.10ShnumanGen.b', 'index': 31}]"
aṣ̌aōnō,aṣ̌aōnō,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 32}]"
vərəziiaŋhahe,vərəziiaŋᵛhahe,1,"[{'type': 'replace', 'from': 'ŋ', 'to': 'ŋᵛ', 'str': 'ŋᵛ for ŋ', 'is_documented': True, 'description': 'Labialized nasal ŋᵛ becomes ŋ or ŋh in both traditions.'}]","[{'id': 'Y0.10ShnumanGen.b', 'index': 33}]"
dātahe,dātahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 34}]"
vīdaēuuahe,vīdaēuuahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 35}, {'id': 'Y0.10ShnumanGen.b', 'index': 36}]"
dātahe,dātahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 37}]"
zaraϑuštrōiš,zaraϑuštrōiš,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 38}]"
darəγaiiā̊,darəγaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 39}]"
upaiianaiiā̊,upaiianaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 40}, {'id': 'Y0.10ShnumanGen.b', 'index': 41}]"
daēnaiiā̊,daēnaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 42}]"
vaŋhuiiā̊,vaŋhuiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 43}]"
māzdaiiasnōiš,māzdaiiasnōiš,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 44}]"
zarazdātōiš,zrazdātōiš,1,"[{'type': 'insert', 'to': 'a', 'str': 'a inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.10ShnumanGen.b', 'index': 45}]"
mąϑrahe,mąϑrahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 46}]"
spəṇtahe,spəṇtahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 47}]"
ušidarəϑrəm,ušidarəϑrəm,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 48}, {'id': 'Y0.10ShnumanGen.b', 'index': 49}]"
daēnaiiā̊,daēnaiiā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 50}]"
māzdaiiasnōiš,māzdaiiasnōiš,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 51}]"
vīδīm,vaēδīm,1,"[{'type': 'replace', 'from': 'ī', 'to': 'aē', 'str': 'aē for ī', 'is_documented': True, 'description': 'Monophthongizations of aē into ī are relatively frequent in Iranian manuscripts and increase over time'}]","[{'id': 'Y0.10ShnumanGen.b', 'index': 52}]"
mąϑrahe,mąϑrahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 53}, {'id': 'Y0.10ShnumanGen.b', 'index': 54}]"
spəṇtahe,spəṇtahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 55}]"
āsnahe,āsnahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 56}]"
xraϑβō,xraϑβō,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 57}]"
mazdaδātahe,mazdaδātahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 58}, {'id': 'Y0.10ShnumanGen.b', 'index': 59}]"
gaōšōsrītahe,gaōšōsrūtahe,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.10ShnumanGen.b', 'index': 60}]"
xraϑβō,xraϑβō,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 61}]"
mazdaδātahe,mazdaδātahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 62}, {'id': 'Y0.10ShnumanGen.b', 'index': 63}]"
āzrō,āϑrō,1,"[{'type': 'replace', 'from': 'z', 'to': 'ϑ', 'str': 'ϑ for z', 'is_documented': False, 'description': None}]","[{'id': 'Y0.10ShnumanGen.b', 'index': 64}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 65}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 66}]"
puϑra,puϑra,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 67}]"
tauua,tauua,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 68}, {'id': 'Y0.10ShnumanGen.b', 'index': 69}]"
ātarš,ātarš,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 70}]"
puϑra,puϑra,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 71}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 72}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.10ShnumanGen.b', 'index': 73}]"
